,TRACTID,cluster
877,36047073600,Stable
878,36047073800,Stable
879,36047074000,Stable
880,36047074200,Stable
881,36047074400,Stable
882,36047074600,Stable
883,36047074800,Stable
884,36047075000,Stable
885,36047075200,Stable
886,36047075400,Stable
887,36047075600,Stable
888,36047075800,Stable
889,36047076000,Stable
890,36047076200,Stable
891,36047076400,Stable
892,36047076600,Stable
893,36047076800,Mixture
894,36047077000,Stable
895,36047077200,Stable
896,36047077400,Stable
897,36047077600,Stable
898,36047078000,Stable
899,36047078200,Stable
900,36047078400,Stable
901,36047078600,Stable
902,36047078800,Gentrifying
903,36047079000,Stable
904,36047079200,Stable
905,36047079400,Gentrifying
906,36047079601,Gentrifying
907,36047079602,Stable
908,36047079801,Stable
909,36047079802,Stable
910,36047080000,Stable
911,36047080200,Stable
912,36047080400,Stable
913,36047080600,Stable
914,36047081000,Stable
915,36047081400,Stable
916,36047081600,Stable
917,36047081800,Stable
918,36047082000,Stable
919,36047082200,Stable
920,36047082400,Stable
921,36047082600,Stable
922,36047082800,Stable
923,36047083000,Stable
924,36047083200,Stable
925,36047083400,Stable
926,36047083600,Stable
927,36047083800,Stable
928,36047084000,Stable
929,36047084600,Stable
930,36047084800,Stable
931,36047085000,Stable
932,36047085400,Stable
933,36047085600,Gentrifying
934,36047085800,Stable
935,36047086000,Stable
936,36047086200,Stable
937,36047086400,Stable
938,36047086600,Stable
939,36047086800,Stable
940,36047087000,Stable
941,36047087200,Stable
942,36047087401,Stable
943,36047087600,Stable
944,36047087800,Stable
945,36047088000,Stable
946,36047088200,Stable
947,36047088400,Stable
948,36047088600,Stable
949,36047088800,Stable
950,36047089000,Stable
951,36047089200,Stable
952,36047089400,Stable
953,36047089600,Stable
954,36047089800,Stable
955,36047090000,Stable
956,36047090200,Stable
957,36047090600,Gentrifying
958,36047090800,Stable
959,36047091000,Gentrifying
960,36047091200,Gentrifying
961,36047091600,Stable
962,36047091800,Stable
963,36047092000,Gentrifying
964,36047092200,Stable
965,36047092400,Gentrifying
966,36047092800,Stable
967,36047093000,Stable
968,36047093200,Stable
969,36047093400,Stable
970,36047093600,Stable
971,36047093800,Stable
972,36047094401,Stable
973,36047094402,Stable
974,36047094600,Stable
975,36047095000,Stable
976,36047095400,Stable
977,36047095600,Stable
978,36047095800,Stable
979,36047096200,Stable
980,36047096400,Stable
981,36047096600,Stable
982,36047096800,Gentrifying
983,36047097000,Gentrifying
984,36047097400,Stable
985,36047098200,Gentrifying
986,36047098400,Stable
987,36047098600,Stable
988,36047098800,Stable
989,36047099000,Stable
990,36047099200,Stable
991,36047099400,Stable
992,36047099600,Stable
993,36047099800,Stable
994,36047100400,Stable
995,36047100600,Stable
996,36047100800,Stable
997,36047101000,Mixture
998,36047101200,Stable
999,36047101400,Stable
1000,36047101600,Stable
1001,36047101800,Stable
1002,36047102000,Stable
1003,36047102200,Mixture
1004,36047102400,Stable
1005,36047102600,Stable
1006,36047102800,Stable
1007,36047103400,Stable
1008,36047105801,Stable
1009,36047105804,Stable
1010,36047107800,Stable
1011,36047109800,Gentrifying
1012,36047110400,Stable
1013,36047110600,Stable
1014,36047111000,Stable
1015,36047111600,Stable
1016,36047111800,Stable
1017,36047112000,Stable
1018,36047112200,Gentrifying
1019,36047112400,Stable
1020,36047112600,Stable
1021,36047112800,Stable
1022,36047113000,Stable
1023,36047113200,Stable
1024,36047113400,Stable
1025,36047114201,Stable
1026,36047114202,Stable
1027,36047114400,Stable
1028,36047114600,Stable
1029,36047115000,Stable
1030,36047115200,Stable
1031,36047115600,Stable
1032,36047115800,Stable
1033,36047116000,Stable
1034,36047116200,Stable
1035,36047116400,Stable
1036,36047116600,Stable
1037,36047116800,Gentrifying
1038,36047117000,Stable
1039,36047117201,Stable
1040,36047117202,Stable
1041,36047117400,Gentrifying
1042,36047117601,Stable
1043,36047117602,Stable
1044,36047117800,Stable
1045,36047118201,Gentrifying
1046,36047118202,Stable
1047,36047118400,Stable
1048,36047118600,Stable
1049,36047118800,Stable
1050,36047119000,Stable
1051,36047119200,Stable
1052,36047119400,Stable
1053,36047119600,Stable
1054,36047119800,Stable
1055,36047120000,Stable
1056,36047120200,Stable
1057,36047120800,Stable
1058,36047121000,Stable
1059,36047121400,Stable
1060,36047122000,Stable
1061,36047123700,Stable
1062,36047150200,Stable
1063,36047152200,Stable
1064,36061000201,Stable
1065,36061000202,Stable
1066,36061000600,Stable
1067,36061000700,Stable
1068,36061000800,Stable
1069,36061000900,Stable
1070,36061001001,Stable
1071,36061001002,Stable
1072,36061001200,Stable
1073,36061001300,Stable
1074,36061001401,Stable
1075,36061001402,Stable
1076,36061001501,Stable
1077,36061001502,Stable
1078,36061001600,Stable
1079,36061001800,Gentrifying
1080,36061002000,Gentrifying
1081,36061002100,Stable
1082,36061002201,Stable
1083,36061002202,Gentrifying
1084,36061002400,Gentrifying
1085,36061002500,Stable
1086,36061002601,Gentrifying
1087,36061002602,Stable
1088,36061002700,Stable
1089,36061002800,Stable
1090,36061002900,Stable
1091,36061003001,Stable
1092,36061003002,Stable
1093,36061003100,Stable
1094,36061003200,Stable
1095,36061003300,Stable
1096,36061003400,Stable
1097,36061003601,Gentrifying
1098,36061003602,Stable
1099,36061003700,Stable
1100,36061003800,Stable
1101,36061003900,Stable
1102,36061004000,Stable
1103,36061004100,Stable
1104,36061004200,Stable
1105,36061004300,Stable
1106,36061004400,Stable
1107,36061004500,Stable
1108,36061004700,Stable
1109,36061004800,Stable
1110,36061004900,Stable
1111,36061005000,Stable
1112,36061005200,Stable
1113,36061005400,Stable
1114,36061005501,Stable
1115,36061005502,Stable
1116,36061005600,Stable
1117,36061005700,Stable
1118,36061005900,Stable
1119,36061006000,Mixture
1120,36061006100,Stable
1121,36061006200,Stable
1122,36061006300,Stable
1123,36061006400,Stable
1124,36061006500,Stable
1125,36061006600,Stable
1126,36061006700,Stable
1127,36061006800,Stable
1128,36061006900,Stable
1129,36061007000,Stable
1130,36061007100,Stable
1131,36061007200,Stable
1132,36061007300,Stable
1133,36061007400,Stable
1134,36061007500,Stable
1135,36061007600,Stable
1136,36061007700,Stable
1137,36061007800,Stable
1138,36061007900,Stable
1139,36061008000,Stable
1140,36061008100,Stable
1141,36061008200,Mixture
1142,36061008300,Stable
1143,36061008400,Stable
1144,36061008601,Stable
1145,36061008603,Stable
1146,36061008700,Stable
1147,36061008800,Stable
1148,36061008900,Stable
1149,36061009000,Stable
1150,36061009100,Stable
1151,36061009200,Stable
1152,36061009300,Stable
1153,36061009500,Stable
1154,36061009700,Stable
1155,36061009800,Stable
1156,36061009900,Gentrifying
1157,36061010000,Mixture
1158,36061010300,Stable
1159,36061010400,Stable
1160,36061010601,Stable
1161,36061010602,Stable
1162,36061010800,Stable
1163,36061011000,Stable
1164,36061011100,Stable
1165,36061011201,Stable
1166,36061011203,Stable
1167,36061011401,Stable
1168,36061011402,Stable
1169,36061011500,Stable
1170,36061011600,Stable
1171,36061011800,Stable
1172,36061011900,Mixture
1173,36061012000,Stable
1174,36061012100,Stable
1175,36061012200,Mixture
1176,36061012400,Stable
1177,36061012500,Stable
1178,36061012600,Stable
1179,36061012700,Stable
1180,36061012800,Stable
1181,36061012900,Stable
1182,36061013000,Stable
1183,36061013100,Stable
1184,36061013200,Stable
1185,36061013300,Stable
1186,36061013400,Stable
1187,36061013500,Gentrifying
1188,36061013600,Stable
1189,36061013700,Stable
1190,36061013800,Mixture
